module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
delbot_platform.documents.embedding.providers.gateway,delbot_platform/documents/embedding/providers/gateway.py,documents,module,1,0,1,1,1,74,1785
delbot_platform.documents.embedding.providers.local,delbot_platform/documents/embedding/providers/local.py,documents,module,1,0,1,1,1,71,1580
delbot_platform.documents.embedding.vector,delbot_platform/documents/embedding/vector.py,documents,module,0,0,0,0,0,10,95
delbot_platform.documents.extraction.__init__,delbot_platform/documents/extraction/__init__.py,documents,module,0,0,0,0,0,16,245
delbot_platform.documents.extraction.block,delbot_platform/documents/extraction/block.py,documents,module,2,0,1,1,0,210,3400
delbot_platform.documents.extraction.service,delbot_platform/documents/extraction/service.py,documents,service,3,0,1,2,0,88,1602
delbot_platform.documents.ingestion.__init__,delbot_platform/documents/ingestion/__init__.py,documents,module,0,0,0,0,0,10,121
delbot_platform.documents.ingestion.repository_ingestor,delbot_platform/documents/ingestion/repository_ingestor.py,documents,module,0,0,1,1,1,123,2634
delbot_platform.documents.loader.__init__,delbot_platform/documents/loader/__init__.py,documents,module,0,0,0,0,0,16,160
delbot_platform.documents.loader.source,delbot_platform/documents/loader/source.py,documents,module,5,0,1,3,0,27,373
delbot_platform.documents.loader.sources.__init__,delbot_platform/documents/loader/sources/__init__.py,documents,module,0,0,0,0,0,7,129
delbot_platform.documents.loader.sources.local,delbot_platform/documents/loader/sources/local.py,documents,module,2,0,1,4,0,38,599
delbot_platform.documents.metadata.__init__,delbot_platform/documents/metadata/__init__.py,documents,module,0,0,0,0,0,15,239
delbot_platform.documents.metadata.builder.__init__,delbot_platform/documents/metadata/builder/__init__.py,documents,module,0,0,0,0,0,15,265
delbot_platform.documents.metadata.builder.chunk,delbot_platform/documents/metadata/builder/chunk.py,documents,module,2,0,1,1,0,60,1533
delbot_platform.documents.metadata.builder.document,delbot_platform/documents/metadata/builder/document.py,documents,module,2,0,1,5,0,147,2970
delbot_platform.documents.metadata.chunk_metadata,delbot_platform/documents/metadata/chunk_metadata.py,documents,module,8,0,1,0,0,75,2010
delbot_platform.documents.metadata.document_metadata,delbot_platform/documents/metadata/document_metadata.py,documents,module,5,0,1,1,0,40,592
delbot_platform.documents.metadata.mapper.chunk_metadata_mapper,delbot_platform/documents/metadata/mapper/chunk_metadata_mapper.py,documents,mapper,3,0,1,2,0,101,2326
delbot_platform.documents.metadata.metadata_extractor,delbot_platform/documents/metadata/metadata_extractor.py,documents,module,1,0,1,5,0,184,3835
delbot_platform.documents.metadata.repository,delbot_platform/documents/metadata/repository.py,documents,module,1,0,1,6,0,109,2013
delbot_platform.documents.models.__init__,delbot_platform/documents/models/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.models.block,delbot_platform/documents/models/block.py,documents,module,8,0,1,5,0,127,1882
delbot_platform.documents.models.chunk,delbot_platform/documents/models/chunk.py,documents,module,0,0,1,0,0,17,209
delbot_platform.documents.models.citation,delbot_platform/documents/models/citation.py,documents,module,0,0,1,0,0,15,197
delbot_platform.documents.models.document,delbot_platform/documents/models/document.py,documents,module,2,0,1,0,0,31,496
delbot_platform.documents.models.document_chunk,delbot_platform/documents/models/document_chunk.py,documents,module,8,0,1,5,0,104,2417
delbot_platform.documents.models.metadata,delbot_platform/documents/models/metadata.py,documents,module,2,0,1,0,0,22,341
delbot_platform.documents.models.page,delbot_platform/documents/models/page.py,documents,module,2,0,1,0,0,22,340
delbot_platform.documents.parser.__init__,delbot_platform/documents/parser/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.parser.backend.__init__,delbot_platform/documents/parser/backend/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.parser.backend.base,delbot_platform/documents/parser/backend/base.py,documents,module,2,0,1,6,0,49,697
delbot_platform.documents.parser.backendmupdf,delbot_platform/documents/parser/backend/pymupdf.py,documents,module,0,0,1,8,0,89,1397
delbot_platform.documents.parser.base,delbot_platform/documents/parser/base.py,documents,module,1,0,1,1,0,21,377
delbot_platform.documents.parser.pdf,delbot_platform/documents/parser/pdf.py,documents,module,0,0,1,2,0,107,2336
delbot_platform.documents.pipeline.__init__,delbot_platform/documents/pipeline/__init__.py,documents,module,0,0,0,0,0,16,278
delbot_platform.documents.pipeline.indexing,delbot_platform/documents/pipeline/indexing.py,documents,module,4,0,1,2,2,159,3530
delbot_platform.documents.pipeline.models.__init__,delbot_platform/documents/pipeline/models/__init__.py,documents,module,0,0,0,0,0,11,179
delbot_platform.documents.pipeline.models.artifact,delbot_platform/documents/pipeline/models/artifact.py,documents,module,0,0,1,7,0,100,2007
delbot_platform.documents.pipeline.models.index_result,delbot_platform/documents/pipeline/models/index_result.py,documents,module,0,0,1,0,0,25,293
delbot_platform.documents.pipeline.preprocessing,delbot_platform/documents/pipeline/preprocessing.py,documents,module,2,0,1,2,0,82,1461
delbot_platform.documents.registry.__init__,delbot_platform/documents/registry/__init__.py,documents,module,0,0,0,0,0,11,235
